lat,long,station
45.6228,-122.51692,1
47.673675,-117.1407,1
47.03646,-122.8285,1
47.43473,-122.29179,1
47.75855,-122.151665,1
46.204945,-119.113535,1
47.665978,-122.668076,1
47.4797047,-122.21024,1
47.500055,-122.180505,1
47.6785,-122.20264,1
47.7617128,-122.2504747,1
48.501275,-122.615305,1
48.501275,-122.615305,1
46.5965625,-120.6027202,1
47.599975,-122.147385,1
47.211085,-123.105305,1
47.5345546,-121.8740496,1
47.392842,-121.3988798,1
46.5965625,-120.6027202,1
47.624515,-122.16085,1
47.624515,-122.16085,1
47.624515,-122.16085,1
47.624515,-122.16085,1
47.624515,-122.16085,1
47.624515,-122.16085,1
47.624515,-122.16085,1
47.624515,-122.16085,1
47.94171,-122.299965,1
47.624515,-122.16085,1
47.624515,-122.16085,1
47.624515,-122.16085,1
47.624515,-122.16085,1
47.624515,-122.16085,1
47.624515,-122.16085,1
47.624515,-122.16085,1
47.624515,-122.16085,1
47.624515,-122.16085,1
47.624515,-122.16085,1
47.839895,-120.015875,1
47.624515,-122.16085,1
47.624515,-122.16085,1
47.624515,-122.16085,1
47.624515,-122.16085,1
47.84182,-122.297265,1
47.71124,-122.209285,1
47.61385,-122.201905,1
47.71558,-122.296385,1
46.6043,-120.500225,1
47.5345546,-121.8740496,1
47.915555,-122.091505,1
47.80807,-122.37507,1
47.624515,-122.16085,1
47.32329,-122.31327,1
47.43876,-122.197,1
47.78416,-122.30842,1
47.571015,-122.16937,1
47.305065,-122.222855,1
47.610365,-122.30839,1
47.665978,-122.668076,1
47.42255,-120.32009,1
47.66132,-122.319115,1
47.632405,-122.34848,1
47.8019,-122.50156,1
47.43473,-122.29179,1
48.9461196,-122.4584536,1
47.3384055,-122.2849393,1
47.61385,-122.201905,1
47.6402108,-122.3223156,1
46.320425,-117.977095,1
47.624515,-122.16085,1
46.716875,-122.962555,1
47.624515,-122.16085,1
47.66905,-122.378895,1
48.110695,-123.424865,1
45.7491397,-121.648859,1
47.6785,-122.20264,1
47.6785,-122.20264,1
47.6785,-122.20264,1
47.6785,-122.20264,1
47.6785,-122.20264,1
47.610365,-122.30839,1
48.0162652,-122.7811346,1
47.659185,-122.34301,1
47.659185,-122.34301,1
47.659185,-122.34301,1
47.63046,-122.363815,1
46.716875,-122.962555,1
46.716875,-122.962555,1
48.0047,-122.112265,1
47.500055,-122.180505,1
47.737525,-122.64177,1
46.97789,-123.8206,1
46.2744,-122.90778,1
48.7470973,-122.4569227,1
47.534065,-122.03646,1
47.5970083,-120.6619153,1
47.3384055,-122.2849393,1
47.4451257,-122.1298876,1
47.979935,-122.20722,1
47.1712579,-122.5181098,1
47.6018,-122.329075,1
47.6018,-122.329075,1
47.979935,-122.20722,1
48.474765,-122.33079,1
47.61546,-122.344125,1
47.61546,-122.344125,1
47.61546,-122.344125,1
47.61546,-122.344125,1
47.61546,-122.344125,1
47.61546,-122.344125,1
47.61546,-122.344125,1
47.61546,-122.344125,1
47.61546,-122.344125,1
47.61546,-122.344125,1
47.305065,-122.222855,1
45.818445,-122.74291,1
47.61546,-122.344125,1
47.61546,-122.344125,1
47.632405,-122.34848,1
47.632405,-122.34848,1
47.632405,-122.34848,1
47.632405,-122.34848,1
47.632405,-122.34848,1
47.632405,-122.34848,1
47.632405,-122.34848,1
47.632405,-122.34848,1
48.919121,-122.6410958,1
47.632405,-122.34848,1
47.632405,-122.34848,1
47.632405,-122.34848,1
47.632405,-122.34848,1
47.632405,-122.34848,1
47.632405,-122.34848,1
47.632405,-122.34848,1
47.632405,-122.34848,1
47.632405,-122.34848,1
47.632405,-122.34848,1
47.708165,-121.357795,1
47.632405,-122.34848,1
47.61546,-122.344125,1
47.61546,-122.344125,1
47.61546,-122.344125,1
47.61546,-122.344125,1
47.61546,-122.344125,1
47.61546,-122.344125,1
47.61546,-122.344125,1
47.61546,-122.344125,1
47.61546,-122.344125,1
45.818445,-122.74291,1
47.61546,-122.344125,1
47.61546,-122.344125,1
47.61546,-122.344125,1
47.61546,-122.344125,1
47.61546,-122.344125,1
47.61546,-122.344125,1
47.61546,-122.344125,1
47.61546,-122.344125,1
47.61546,-122.344125,1
47.61546,-122.344125,1
47.71558,-122.296385,1
47.61546,-122.344125,1
47.61546,-122.344125,1
47.61385,-122.201905,1
47.61385,-122.201905,1
47.61385,-122.201905,1
47.61385,-122.201905,1
47.61385,-122.201905,1
47.61385,-122.201905,1
47.61385,-122.201905,1
47.61385,-122.201905,1
48.1195874,-122.7644197,1
47.61385,-122.201905,1
47.61385,-122.201905,1
47.61385,-122.201905,1
47.61385,-122.201905,1
47.61385,-122.201905,1
47.61385,-122.201905,1
47.632405,-122.34848,1
47.632405,-122.34848,1
47.762405,-122.20578,1
47.762405,-122.20578,1
48.1195874,-122.7644197,1
47.762405,-122.20578,1
47.762405,-122.20578,1
47.762405,-122.20578,1
47.762405,-122.20578,1
47.043535,-122.89692,1
47.5373,-122.639265,1
47.762405,-122.20578,1
47.61385,-122.201905,1
47.19178,-122.299155,1
45.6228,-122.51692,1
48.1195874,-122.7644197,1
45.6228,-122.51692,1
48.501275,-122.615305,1
47.733415,-122.55717,1
48.761615,-122.486115,1
47.43473,-122.29179,1
47.25207,-122.44131,1
47.94171,-122.299965,1
47.80807,-122.37507,1
47.67668,-122.12302,1
48.08104,-123.105015,1
48.1195874,-122.7644197,1
47.3809,-122.235475,1
47.5345546,-121.8740496,1
47.5345546,-121.8740496,1
47.5345546,-121.8740496,1
46.711147,-123.9965452,1
47.979935,-122.20722,1
46.268335,-118.15324,1
48.501275,-122.615305,1
47.67668,-122.12302,1
47.61385,-122.201905,1
47.64927,-117.460225,1
47.61385,-122.201905,1
47.624515,-122.16085,1
47.61099,-122.33589,1
47.63046,-122.363815,1
47.61099,-122.33589,1
47.575195,-122.611365,1
47.2923828,-122.5113356,1
47.08149,-122.7510253,1
47.03646,-122.8285,1
47.80892,-124.2553016,1
48.7470973,-122.4569227,1
47.71124,-122.209285,1
47.67668,-122.12302,1
47.251135,-122.45153,1
46.20034,-123.380635,1
45.6083347,-122.4853873,1
47.819664,-122.3164188,1
47.582905,-122.2377542,1
47.6018,-122.329075,1
47.6018,-122.329075,1
45.630465,-122.675975,1
45.59009,-122.405565,1
47.6293323,-122.5235781,1
46.043895,-118.38409,1
47.61385,-122.201905,1
47.639195,-122.394185,1
47.632405,-122.34848,1
47.632405,-122.34848,1
47.6018,-122.329075,1
47.802589,-122.179458,1
47.61099,-122.33589,1
47.61099,-122.33589,1
47.57981,-122.329815,1
48.08104,-123.105015,1
48.474765,-122.33079,1
48.10433,-122.1713847,1
47.66132,-122.319115,1
47.6018,-122.329075,1
47.54468,-122.37439,1
47.2198,-122.47913,1
45.6083347,-122.4853873,1
47.80892,-124.2553016,1
46.009825,-122.839465,1
47.043535,-122.89692,1
47.25207,-122.44131,1
47.28971,-122.38578,1
47.998715,-118.95252,1
48.55832,-121.421895,1
48.55832,-121.421895,1
48.55832,-121.421895,1
47.1240154,-119.2599876,1
48.503325,-122.235035,1
46.063985,-118.34332,1
46.377845,-120.72956,1
47.61327,-119.28953,1
47.75855,-122.151665,1
47.76726,-122.34584,1
46.94126,-122.61023,1
47.043535,-122.89692,1
47.13795,-122.2987976,1
48.41333,-122.338975,1
