lat,long,agi
47.9487555,-122.3062009,63166
47.8105149,-122.3748742,100727
47.70340520000001,-122.15378520000002,104401
48.079887824216,-123.09749698672,44410
48.113018,-122.760544,47597
47.381517,-122.26211,33665
47.527683,-121.8237,81073
47.532721,-121.873105,81073
47.52717,-121.82621,81073
46.7250165,-124.0206708,31505
48.0000028,-122.2146431,40670
46.2707488,-118.1532507,33945
48.5012896,-122.6152529,60931
47.688818,-122.150315,104401
47.618317,-122.1969022,239631
47.625092,-117.53956,47253
47.6110064,-122.2021671,239631
47.582405,-122.153989,117231
47.6171782,-122.3313731,257397
47.6246042,-122.35931820000002,121779
47.611378281765,-122.3314401402,257397
47.5944743,-122.6294686,35228
47.281263,-122.516582,62424
47.056479,-122.762767,43185
47.0001351,-122.8280101,34394
47.6055171,-124.3715566,28624
48.755607,-122.454132,49607
47.716066,-122.179613,81474
47.7088267,-122.1601307,104401
47.2535492,-122.4469825,34053
46.2025755,-123.3841695,40464
45.6183882,-122.4917385,48264
47.8142359,-122.3016909,47505
47.5866676,-122.2340887,206897
47.6091997,-122.3241094,98639
47.5987016,-122.3351902,98639
45.6304919,-122.6676833,56466
45.6040109,-122.4757978,69648
47.624921,-122.51934,118406
46.0427838,-118.3869759,30822
47.6177789,-122.1915562,239631
47.65588110993,-122.38276327302,122876
47.6283848,-122.3418983,130936
47.6228746,-122.3394194,130936
47.5974244,-122.3347174,98639
47.7953945,-122.2116571,70533
47.6163395,-122.3330877,257397
47.6035183,-122.3329014,257397
47.581142,-122.3357333,161615
48.079897,-123.098996,44410
48.454081,-122.334149,35338
48.09885,-122.17922,37493
47.618848,-122.3467506,127182
47.6044756,-122.3378981,98639
47.5454638,-122.3764102,65226
47.228303734615,-122.46755358955,28926
45.613275,-122.50409,48264
47.9148059463057,-124.544494766543,28624
46.0039829278164,-122.845311463165,46866
47.0027896,-122.8474706,45355
47.252117,-122.437452,59070
47.30283,-122.424971,53300
47.969278,-118.968139,34436
48.53841,-121.448148,31730
48.666724,-121.264849,31730
48.666724,-121.264849,31730
47.130142,-119.278077,31741
48.510997,-122.227559,34882
46.089925,-118.278785,38102
46.339724,-120.85306,16759
47.616684,-119.287843,38814
47.7534858,-122.1629554,91062
47.7592911,-122.3448427,52359
46.934055045,-122.593947986,31191
47.018706,-122.8976885,45355
47.135190354,-122.294424858,39975
48.3990120273125,-122.333582969284,34728
45.618949,-122.525453,35844
48.00101,-122.2061313,40670
47.222542058,-122.451572702,30645
47.269919942,-122.488110764,53051
47.609528,-122.326393,257397
47.272625257,-122.514344349,62424
47.926042415,-122.09600399,53937
47.8176852900045,-124.151851571593,28624
47.793213,-122.14057,91062
47.793168,-122.140579,91062
47.793094,-122.140577,91062
47.793124,-122.140598,91062
47.673795,-122.128859,104401
47.673824,-122.128893,104401
47.62419,-122.517509,118406
47.621409,-122.353711,130936
47.621311,-122.353622,130936
47.621313,-122.353652,130936
47.621413,-122.353638,130936
47.621376,-122.353648,130936
47.621411,-122.353676,130936
47.621312,-122.353589,130936
47.621377,-122.353675,130936
47.621377,-122.353708,130936
47.621309,-122.353679,130936
47.759501,-122.193075,69199
47.621378,-122.35362,130936
47.302692,-122.424934,53300
47.66149,-122.29641,127182
47.467371,-122.33941,63968
47.621055,-122.175961,117231
47.62119,-122.176009,117231
47.62118,-122.175985,117231
47.621179,-122.176023,117231
47.621169,-122.175976,117231
47.620982,-122.175927,117231
47.757842,-122.190719,69199
47.620905,-122.175829,117231
47.238641,-119.895401,25579
