lat,long,test
45.616174,-122.497721,1
47.670893,-117.176698,1
47.044011,-122.822404,1
47.443377,-122.296229,1
47.734211,-122.147041,1
46.213233,-119.162367,1
47.65654521,-122.6737546,1
47.4799835,-122.215076,1
47.501865833,-122.203970833,1
47.678688,-122.174022,1
47.758855,-122.2474,1
48.51004,-122.608116,1
48.510044,-122.608185,1
46.589108,-120.601588,1
47.653125,-122.143971,1
47.337269,-123.160611,1
47.594042,-122.323977,1
47.401691,-121.407058,1
46.588986,-120.60055,1
47.622158,-122.176042,1
47.622172,-122.175417,1
47.621787,-122.175997,1
47.621722,-122.175868,1
47.621671,-122.17589,1
47.621852,-122.175836,1
47.621751,-122.175943,1
47.621758,-122.175804,1
47.890423,-122.286971,1
47.621743,-122.176008,1
47.62216,-122.176,1
47.621837,-122.175922,1
47.622008,-122.175897,1
47.62183,-122.175707,1
47.621748,-122.175959,1
47.621685,-122.176008,1
47.621826,-122.175977,1
47.621808,-122.176051,1
47.621657,-122.175954,1
47.83522282290976,-120.068983390213,1
47.622044,-122.175811,1
47.62211,-122.175807,1
47.621921,-122.176015,1
47.621942,-122.175942,1
47.843755,-122.294874,1
47.71142,-122.19086,1
47.611048,-122.202181,1
47.706589,-122.327778,1
46.609653,-120.491932,1
47.071917,-122.976675,1
47.519113,-121.841787,1
47.938215,-122.109075,1
47.791134,-122.36613,1
47.621784,-122.175908,1
47.314888,-122.31487,1
47.444946,-122.212785,1
47.80738,-122.290565,1
47.5758255,-122.1708235,1
47.2727635,-122.2275765,1
47.61388,-122.31477,1
47.6583744,-122.6760529,1
47.42745,-120.31242,1
47.662815,-122.31902,1
47.620214,-122.330658,1
47.811105,-122.540695,1
47.43361,-122.27274,1
48.942575,-122.455243,1
47.29771,-122.24911,1
47.614345,-122.200772,1
47.63173,-122.32099,1
46.320333,-117.980222,1
47.611519,-122.182197,1
46.72527,-122.97422,1
47.611815,-122.178134,1
47.6683535,-122.3749615,1
48.10993,-123.36134,1
45.714228,-121.461813,1
47.676045,-122.203117,1
47.675556,-122.207383,1
47.675896,-122.203012,1
47.675365,-122.2075,1
47.678476,-122.206806,1
47.613498,-122.320931,1
48.73115,-122.47117,1
47.670285,-122.353765,1
47.670287,-122.353696,1
47.670292,-122.353627,1
47.62482,-122.35829,1
46.711331,-122.976491,1
46.711291,-122.976524,1
48.014624,-122.065442,1
47.499129,-122.180651,1
47.7651883,-122.6573597,1
46.97642,-123.80708,1
46.27622,-122.91012,1
48.74393,-122.461854,1
47.53129,-122.06573,1
47.59736,-120.64588,1
47.3064421,-122.229972,1
47.465678,-122.142289,1
47.97331,-122.201162,1
47.171582,-122.517619,1
47.60521,-122.32972,1
47.62606,-122.349,1
47.9990269,-122.1914014,1
48.45625,-122.33954,1
47.616243,-122.340257,1
47.615052,-122.338336,1
47.614986,-122.338444,1
47.61554,-122.338778,1
47.615059,-122.338454,1
47.615399,-122.338834,1
47.615489,-122.338786,1
47.616253,-122.340184,1
47.616246,-122.340184,1
47.616231,-122.340205,1
45.81749,-122.68359,1
47.616129,-122.340052,1
47.616224,-122.340227,1
47.623336,-122.336584,1
47.62334,-122.336589,1
47.623333,-122.336648,1
47.623327,-122.336677,1
47.623442,-122.335352,1
47.623537,-122.335474,1
47.622775,-122.336355,1
47.622775,-122.336346,1
48.92653,-122.64552,1
47.623027,-122.3365,1
47.623014,-122.336611,1
47.621746,-122.336402,1
47.621821,-122.33637,1
47.621851,-122.336423,1
47.620496,-122.33622,1
47.620275,-122.336253,1
47.620392,-122.336265,1
47.620267,-122.336259,1
47.62036,-122.336252,1
47.7114,-121.36073,1
47.623967,-122.337695,1
47.61664,-122.338877,1
47.61669,-122.338963,1
47.616677,-122.339024,1
47.616684,-122.339013,1
47.616676,-122.338931,1
47.61669,-122.338985,1
47.616684,-122.33897,1
47.616712,-122.33907,1
47.616632,-122.338942,1
45.77671,-122.669,1
47.616654,-122.338888,1
47.61751,-122.340955,1
47.617453,-122.341014,1
47.61751,-122.34093,1
47.617528,-122.340928,1
47.617473,-122.340993,1
47.617495,-122.340974,1
47.617429,-122.341037,1
47.617264,-122.340534,1
47.617287,-122.340505,1
47.707951,-122.321496,1
47.617307,-122.340479,1
47.617228,-122.340588,1
47.613364,-122.196731,1
47.613372,-122.196796,1
47.613343,-122.196839,1
47.613386,-122.196667,1
47.613372,-122.196721,1
47.613386,-122.19671,1
47.61335,-122.196817,1
47.613401,-122.19671,1
48.093634,-122.813252,1
47.613357,-122.196882,1
47.613364,-122.196774,1
47.613357,-122.196624,1
47.613343,-122.196753,1
47.613343,-122.196699,1
