lat,long,car
48.76809,-122.45493,1
48.5316467,-123.0219704,1
48.761615,-122.486115,1
47.94171,-122.299965,1
47.190465,-122.28718,1
47.66905,-122.378895,1
47.665978,-122.668076,1
47.57192,-122.65223,1
47.6245,-122.11832,1
47.58153,-122.03309,1
47.20347,-121.98953,1
47.4451257,-122.1298876,1
47.659185,-122.34301,1
46.686115,-123.72855,1
46.272495,-119.2952071,1
47.5415,-122.388675,1
47.820517,-122.1876761,1
47.659185,-122.34301,1
47.9156409,-122.2247757,1
47.67668,-122.12302,1
45.7010427,-122.6483953,1
48.76809,-122.45493,1
47.2198,-122.47913,1
48.85324,-122.6011039,1
45.678565,-122.66592,1
47.819664,-122.3164188,1
47.71558,-122.296385,1
47.4797047,-122.21024,1
47.58153,-122.03309,1
47.0135926,-122.9131017,1
47.659185,-122.34301,1
47.582905,-122.2377542,1
47.549285,-122.28339,1
47.582905,-122.2377542,1
47.5173233,-120.4687,1
47.7617128,-122.2504747,1
45.6083347,-122.4853873,1
45.59009,-122.405565,1
47.6344364,-122.6468815,1
46.32189,-120.011515,1
46.1911488,-119.1973001,1
46.4536241,-119.0189476,1
47.8650827,-122.2551991,1
47.802589,-122.179458,1
47.52104,-122.356145,1
47.56484,-122.38679,1
48.503325,-122.235035,1
48.2179983,-122.6880708,1
47.66905,-122.378895,1
47.547635,-121.999595,1
47.80807,-122.37507,1
46.94126,-122.61023,1
47.2174975,-122.4096963,1
47.3931814,-122.2012521,1
47.5345546,-121.8740496,1
47.043535,-122.89692,1
47.500055,-122.180505,1
48.041403,-122.7759694,1
47.6018,-122.329075,1
47.68968,-122.37275,1
47.581975,-122.30823,1
47.67949,-122.3185,1
47.84182,-122.297265,1
47.6285782,-122.0313266,1
47.581975,-122.30823,1
47.62441,-122.306935,1
47.762405,-122.20578,1
47.5970083,-120.6619153,1
47.57981,-122.329815,1
47.9156409,-122.2247757,1
47.7617128,-122.2504747,1
47.66132,-122.319115,1
47.61385,-122.201905,1
47.6887161,-122.0370611,1
47.534065,-122.03646,1
48.5316467,-123.0219704,1
46.5965625,-120.6027202,1
48.501275,-122.615305,1
47.18062,-122.183805,1
47.534065,-122.03646,1
47.624515,-122.16085,1
45.678565,-122.66592,1
47.3084,-122.363215,1
47.820517,-122.1876761,1
47.639195,-122.394185,1
47.43473,-122.29179,1
47.71124,-122.209285,1
47.9796552,-122.359364,1
45.678565,-122.66592,1
47.66132,-122.319115,1
47.7377962,-121.9810747,1
47.68968,-122.37275,1
47.54468,-122.37439,1
47.68968,-122.37275,1
47.7578146,-122.3175,1
47.506453,-122.6851642,1
47.67949,-122.3185,1
45.7042923,-122.7033368,1
47.4451257,-122.1298876,1
45.6617058,-122.5918493,1
47.9156409,-122.2247757,1
47.6887161,-122.0370611,1
47.737525,-122.64177,1
47.476,-122.286465,1
46.272495,-119.2952071,1
47.043535,-122.89692,1
47.75855,-122.151665,1
47.571015,-122.16937,1
47.9796552,-122.359364,1
47.7617128,-122.2504747,1
47.54468,-122.37439,1
47.6402108,-122.3223156,1
47.58153,-122.03309,1
47.487175,-122.15734,1
47.18062,-122.183805,1
47.487175,-122.15734,1
47.19178,-122.299155,1
47.03646,-122.8285,1
47.68968,-122.37275,1
48.08104,-123.105015,1
47.68968,-122.37275,1
47.610365,-122.30839,1
47.3198995,-122.1820969,1
47.36078,-122.111625,1
47.95479,-122.213105,1
47.547635,-121.999595,1
47.534065,-122.03646,1
47.4935316,-121.7814012,1
48.0047,-122.112265,1
47.7617128,-122.2504747,1
48.41653,-122.32284,1
47.67949,-122.3185,1
47.549285,-122.28339,1
47.77279,-122.382425,1
47.7578146,-122.3175,1
47.55015,-122.326965,1
47.58153,-122.03309,1
45.59009,-122.405565,1
47.67949,-122.3185,1
46.94126,-122.61023,1
47.487175,-122.15734,1
47.9156409,-122.2247757,1
46.4972,-124.04853,1
47.6018,-122.329075,1
47.635365,-117.425265,1
47.549285,-122.28339,1
47.582905,-122.2377542,1
47.77279,-122.382425,1
47.67668,-122.12302,1
47.6285782,-122.0313266,1
47.6887161,-122.0370611,1
47.03646,-122.8285,1
47.632405,-122.34848,1
47.7617128,-122.2504747,1
47.0763961,-122.2953401,1
47.67668,-122.12302,1
47.043535,-122.89692,1
45.638545,-122.641835,1
47.673675,-117.1407,1
47.71558,-122.296385,1
47.61385,-122.201905,1
47.61099,-122.33589,1
47.718625,-117.40725,1
47.71124,-122.209285,1
47.599975,-122.147385,1
47.71124,-122.209285,1
47.03646,-122.8285,1
47.7578146,-122.3175,1
47.68968,-122.37275,1
47.6285782,-122.0313266,1
47.19178,-122.299155,1
47.6245,-122.11832,1
47.231645,-122.537565,1
45.59009,-122.405565,1
47.045935,-122.92145,1
47.67668,-122.12302,1
48.76809,-122.45493,1
47.575195,-122.611365,1
47.6018,-122.329075,1
47.043535,-122.89692,1
47.52104,-122.356145,1
47.639195,-122.394185,1
47.839895,-120.015875,1
48.76809,-122.45493,1
48.761615,-122.486115,1
47.77279,-122.382425,1
46.553505,-120.477805,1
47.211085,-123.105305,1
47.505655,-122.355145,1
47.67668,-122.12302,1
47.6293323,-122.5235781,1
47.68968,-122.37275,1
47.820517,-122.1876761,1
47.096645,-122.377475,1
47.547635,-121.999595,1
47.2923828,-122.5113356,1
47.4013897,-122.3219166,1
47.61385,-122.201905,1
47.190465,-122.28718,1
47.6293323,-122.5235781,1
48.76809,-122.45493,1
47.6018,-122.329075,1
45.67862,-122.5146473,1
47.85674,-121.972215,1
47.582905,-122.2377542,1
46.1911488,-119.1973001,1
47.3931814,-122.2012521,1
47.762405,-122.20578,1
47.549285,-122.28339,1
47.57981,-122.329815,1
48.287295,-122.67499,1
47.76726,-122.34584,1
48.76809,-122.45493,1
47.547635,-121.999595,1
47.20347,-121.98953,1
47.67949,-122.3185,1
47.6785,-122.20264,1
47.6018,-122.329075,1
48.7016716,-122.907229,1
47.043535,-122.89692,1
47.581975,-122.30823,1
47.67668,-122.12302,1
45.59009,-122.405565,1
47.6293323,-122.5235781,1
47.659185,-122.34301,1
46.3466,-124.05412,1
48.761615,-122.486115,1
47.582905,-122.2377542,1
47.9281524,-122.6872285,1
47.76726,-122.34584,1
48.1195874,-122.7644197,1
48.59203,-120.405315,1
45.67862,-122.5146473,1
47.36078,-122.111625,1
47.6785,-122.20264,1
47.67668,-122.12302,1
47.80807,-122.37507,1
47.820517,-122.1876761,1
45.818445,-122.74291,1
47.6785,-122.20264,1
47.6887161,-122.0370611,1
47.7617128,-122.2504747,1
47.571015,-122.16937,1
48.99505,-122.74499,1
47.820517,-122.1876761,1
47.6285782,-122.0313266,1
47.18062,-122.183805,1
45.818445,-122.74291,1
47.6887161,-122.0370611,1
48.7470973,-122.4569227,1
47.4935316,-121.7814012,1
47.7617128,-122.2504747,1
47.5373,-122.639265,1
47.75855,-122.151665,1
47.5415,-122.388675,1
47.915555,-122.091505,1
47.26365,-122.490985,1
45.7336587,-122.5485715,1
48.03557,-122.408015,1
47.66905,-122.378895,1
48.41653,-122.32284,1
48.761615,-122.486115,1
47.7377962,-121.9810747,1
47.820517,-122.1876761,1
47.547635,-121.999595,1
47.19178,-122.299155,1
47.659185,-122.34301,1
48.287295,-122.67499,1
47.63046,-122.363815,1
47.61546,-122.344125,1
47.31187,-122.00498,1
47.581975,-122.30823,1
45.6228,-122.51692,1
47.1045,-122.435115,1
48.1195874,-122.7644197,1
47.211085,-123.105305,1
47.43473,-122.29179,1
46.91147,-117.07428,1
47.52104,-122.356145,1
47.57192,-122.65223,1
47.80372,-122.335685,1
48.99505,-122.74499,1
47.241885,-122.36151,1
48.2414921,-122.3684051,1
47.392842,-121.3988798,1
48.99505,-122.74499,1
47.4935316,-121.7814012,1
47.575195,-122.611365,1
47.6887161,-122.0370611,1
47.67668,-122.12302,1
47.718625,-117.40725,1
47.52104,-122.356145,1
47.534065,-122.03646,1
47.80807,-122.37507,1
47.575195,-122.611365,1
47.56484,-122.38679,1
47.043535,-122.89692,1
47.819664,-122.3164188,1
47.659185,-122.34301,1
47.632405,-122.34848,1
47.61385,-122.201905,1
45.630465,-122.675975,1
47.5373,-122.639265,1
