latitude,longitude,avgrange
47.12569,-118.376715,21.5
46.97191,-118.616395,32.0
46.826175,-119.168765,30.777777777777777777777778
46.7536204,-118.3131408,26.0
46.338085,-117.04437,36.0
46.4163,-117.045685,29.545454545454545454545455
46.26394,-119.4897,33.296296296296296296296296
46.204945,-119.113535,29.855072463768115942028986
46.187395,-119.14533,32.784810126582278481012658
46.1911488,-119.1973001,31.041666666666666666666667
45.93503,-119.35775,53.0
46.204995,-119.769315,28.266666666666666666666667
46.272495,-119.2952071,34.535714285714285714285714
46.29747,-119.28753,31.307692307692307692307692
46.2778489,-119.3535873,34.983050847457627118644068
47.42255,-120.32009,30.55
47.5173233,-120.4687,34.0
47.839895,-120.015875,25.75
47.68998,-120.209155,26.5
47.5970083,-120.6619153,28.7
47.36607,-120.199045,39.25
47.885505,-120.1531,32.833333333333333333333333
47.568765,-120.60008,40.75
48.05613,-124.347425,38.0
48.36824,-124.625235,27.0
48.110695,-123.424865,32.964285714285714285714286
48.118925,-123.46101,29.452380952380952380952381
48.08104,-123.105015,32.409356725146198830409357
45.9105287,-122.4467982,36.0
45.77945,-122.53218,30.395348837209302325581395
45.7336587,-122.5485715,31.917808219178082191780822
45.59009,-122.405565,31.434640522875816993464052
45.8662548,-122.6706246,33.916666666666666666666667
45.818445,-122.74291,30.444954128440366972477064
45.630465,-122.675975,34.0
45.638545,-122.641835,33.198581560283687943262411
45.6617058,-122.5918493,29.650406504065040650406504
45.641205,-122.666325,33.75
45.6228731,-122.589388,29.463636363636363636363636
45.678565,-122.66592,31.466101694915254237288136
45.67862,-122.5146473,31.794354838709677419354839
45.6083347,-122.4853873,29.364640883977900552486188
45.6228,-122.51692,32.030075187969924812030075
45.7042923,-122.7033368,32.919075144508670520231214
45.7010427,-122.6483953,30.134920634920634920634921
45.5838634,-122.3538285,32.570512820512820512820513
45.923065,-122.73125,33.488372093023255813953488
45.8651816,-122.4066726,27.833333333333333333333333
46.320425,-117.977095,10.0
45.9897564,-122.358279,21.666666666666666666666667
46.2744,-122.90778,28.166666666666666666666667
46.050445,-122.303465,14.0
46.009825,-122.839465,30.535714285714285714285714
46.14458,-122.90724,29.390243902439024390243902
46.1372997,-122.9379953,30.387755102040816326530612
46.30967,-122.76217,34.333333333333333333333333
46.3243192,-122.7331471,37.0
47.417755,-120.28619,27.929824561403508771929825
47.704215,-120.19487,30.666666666666666666666667
47.37695,-120.144655,45.0
48.8784431,-118.6027554,72.0
48.64804,-118.732885,15.5
46.232395,-119.0982,30.094890510948905109489051
46.660455,-118.860645,23.666666666666666666666667
46.4536241,-119.0189476,26.0
46.592392,-119.1511997,46.666666666666666666666667
46.473565,-117.60089,26.666666666666666666666667
47.31936,-119.55513,29.095238095238095238095238
47.1240154,-119.2599876,30.287671232876712328767123
47.2335835,-119.8508676,34.8125
47.38686,-119.485115,27.7
46.965685,-119.044355,25.5
47.61327,-119.28953,19.0
47.9315504,-119.0352296,27.0
47.9419302,-119.0018959,63.666666666666666666666667
46.7377996,-119.901675,28.25
46.899585,-119.630615,30.0
46.97789,-123.8206,31.729166666666666666666667
47.4710694,-123.9252642,19.0
46.952755,-123.7758,22.0
47.00679,-123.410105,28.777777777777777777777778
46.9805308,-123.8868787,30.590909090909090909090909
47.052405,-123.26743,21.181818181818181818181818
47.337628,-124.064733792,72.0
46.982215,-123.60535,31.111111111111111111111111
46.8410324,-123.23165,23.5
47.0075271,-124.1599804,26.42
47.1969484,-124.1960702,39.0
47.253853,-124.1921647,21.0
46.886855,-124.107315,28.571428571428571428571429
47.9796552,-122.359364,33.136363636363636363636364
48.2179983,-122.6880708,33.673469387755102040816327
48.03024,-122.544745,34.906976744186046511627907
48.0755577,-122.6084879,28.583333333333333333333333
48.03557,-122.408015,37.186440677966101694915254
48.287295,-122.67499,29.793103448275862068965517
48.2192797,-122.5310901,28.697916666666666666666667
47.6484648,-122.9415583,42.0
48.0162652,-122.7811346,33.166666666666666666666667
47.80892,-124.2553016,17.8
48.041403,-122.7759694,37.75
48.05815,-122.691675,35.0
47.9281524,-122.6872285,31.558139534883720930232558
48.1195874,-122.7644197,32.237837837837837837837838
47.823013,-122.8756509,32.2
47.3384055,-122.2849393,27.583333333333333333333333
47.305065,-122.222855,26.890625
47.3198995,-122.1820969,27.733990147783251231527094
47.32329,-122.31327,28.64754098360655737704918
47.3084,-122.363215,30.2125
47.61385,-122.201905,29.012383900928792569659443
47.624515,-122.16085,29.518292682926829268292683
47.571015,-122.16937,29.549707602339181286549708
47.599975,-122.147385,29.28
47.6245,-122.11832,30.651741293532338308457711
47.31187,-122.00498,30.081081081081081081081081
47.762405,-122.20578,32.930851063829787234042553
47.820517,-122.1876761,29.879356568364611260053619
47.802589,-122.179458,29.033472803347280334728033
47.6483005,-121.9105947,28.266666666666666666666667
47.7377962,-121.9810747,34.659090909090909090909091
47.20347,-121.98953,30.909090909090909090909091
47.56345,-121.8947186,28.958333333333333333333333
47.534065,-122.03646,30.066666666666666666666667
47.547635,-121.999595,30.664948453608247422680412
47.7617128,-122.2504747,30.622754491017964071856287
47.37483,-122.199755,29.56097560975609756097561
47.3931814,-122.2012521,30.414012738853503184713376
47.3809,-122.235475,28.511111111111111111111111
47.36078,-122.111625,28.407582938388625592417062
47.6785,-122.20264,28.990267639902676399026764
47.71124,-122.209285,30.545180722891566265060241
47.357985,-122.05191,31.566210045662100456621005
47.61598,-122.228025,28.129032258064516129032258
47.582905,-122.2377542,29.298969072164948453608247
47.4935316,-121.7814012,31.155963302752293577981651
47.25014,-122.250215,28.5
47.358625,-121.98104,30.764705882352941176470588
47.67668,-122.12302,30.041431261770244821092279
47.6887161,-122.0370611,31.010256410256410256410256
47.43876,-122.197,30.296703296703296703296703
47.500055,-122.180505,31.538922155688622754491018
47.4797047,-122.21024,30.220930232558139534883721
47.4451257,-122.1298876,31.891191709844559585492228
47.487175,-122.15734,31.283333333333333333333333
47.5345546,-121.8740496,28.481751824817518248175182
47.44873,-122.46049,34.5
47.75855,-122.151665,30.508426966292134831460674
47.75425,-122.07326,33.666666666666666666666667
47.6285782,-122.0313266,28.600732600732600732600733
47.58153,-122.03309,27.278260869565217391304348
47.61099,-122.33589,29.967391304347826086956522
47.6402108,-122.3223156,29.912568306010928961748634
47.659185,-122.34301,32.774580335731414868105516
47.6018,-122.329075,24.091787439613526570048309
47.66132,-122.319115,28.151851851851851851851852
47.52104,-122.356145,34.72131147540983606557377
47.66905,-122.378895,34.446927374301675977653631
47.55015,-122.326965,31.324324324324324324324324
47.632405,-122.34848,28.937172774869109947643979
47.62441,-122.306935,31.207357859531772575250836
47.67949,-122.3185,31.120967741935483870967742
47.56484,-122.38679,29.855263157894736842105263
47.68968,-122.37275,30.696428571428571428571429
47.549285,-122.28339,32.836363636363636363636364
47.63046,-122.363815,26.513227513227513227513228
47.61546,-122.344125,29.01020408163265306122449
47.610365,-122.30839,31.657142857142857142857143
47.71558,-122.296385,32.034615384615384615384615
47.54468,-122.37439,32.396226415094339622641509
47.76726,-122.34584,31.238297872340425531914894
47.57981,-122.329815,23.153846153846153846153846
47.5415,-122.388675,30.767857142857142857142857
47.581975,-122.30823,33.439655172413793103448276
47.505655,-122.355145,33.6
47.46233,-122.32863,26.447761194029850746268657
47.7578146,-122.3175,32.184549356223175965665236
47.46593,-122.34102,32.120689655172413793103448
47.476,-122.286465,32.517241379310344827586207
47.77279,-122.382425,35.151219512195121951219512
47.494545,-122.234385,34.433962264150943396226415
47.43473,-122.29179,25.928018575851393188854489
47.4013897,-122.3219166,33.12781954887218045112782
47.639195,-122.394185,32.135514018691588785046729
47.4559666,-122.3016997,20.0
47.708165,-121.357795,18.0
47.6293323,-122.5235781,29.625628140703517587939698
47.575195,-122.611365,31.683333333333333333333333
47.6344364,-122.6468815,30.061728395061728395061728
47.57192,-122.65223,32.734375
47.57097,-122.635905,37.0
47.561889,-122.6498459,38.5
47.68848,-122.7061052,32.222222222222222222222222
47.665978,-122.668076,30.193548387096774193548387
47.903975,-122.57781,36.333333333333333333333333
47.7517942,-122.5271049,37.6
47.7021263,-122.6250117,36.0
47.8019,-122.50156,33.338461538461538461538462
47.41801,-122.54483,30.923076923076923076923077
47.5373,-122.639265,30.719008264462809917355372
47.506453,-122.6851642,32.410596026490066225165563
47.737525,-122.64177,32.816568047337278106508876
47.63836,-122.847462,28.8
47.733415,-122.55717,40.0625
47.392842,-121.3988798,23.0
47.195355,-120.938305,31.541666666666666666666667
47.24106,-121.1761632,27.75
46.994,-120.544475,31.984615384615384615384615
47.2555714,-121.0551802,25.857142857142857142857143
47.222225,-120.994415,31.666666666666666666666667
47.18617,-120.953125,35.5
45.6209509,-121.1798228,14.666666666666666666666667
46.01829,-121.294825,19.0
