Zipcode,Type,City,County,State,Area Codes
99021,Standard,Mead,Spokane County,WA,509
99022,Standard,Medical Lake,Spokane County,WA,509
99023,Standard,Mica,Spokane County,WA,509
99025,Standard,Newman Lake,Spokane County,WA,509
99026,Standard,Nine Mile Falls,Stevens County,WA,509
99027,Standard,Otis Orchards,Spokane County,WA,509
99029,Standard,Reardan,Lincoln County,WA,509
99030,Standard,Rockford,Spokane County,WA,509-208
99031,Standard,Spangle,Spokane County,WA,509
99032,Standard,Sprague,Lincoln County,WA,509
99033,Standard,Tekoa,Whitman County,WA,509
99034,Standard,Tumtum,Stevens County,WA,509
99036,Standard,Valleyford,Spokane County,WA,509
99037,Standard,Veradale,Spokane County,WA,509
99039,Po Box,Waverly,Spokane County,WA,509
99040,Standard,Wellpinit,Stevens County,WA,509
99101,Standard,Addy,Stevens County,WA,509
99102,Po Box,Albion,Whitman County,WA,509
99103,Standard,Almira,Lincoln County,WA,509
99104,Standard,Belmont,Whitman County,WA,509
99105,Standard,Benge,Adams County,WA,509
99107,Standard,Boyds,Ferry County,WA,509
99109,Standard,Chewelah,Stevens County,WA,509
99110,Standard,Clayton,Stevens County,WA,509
99111,Standard,Colfax,Whitman County,WA,509
99113,Standard,Colton,Whitman County,WA,509
99114,Standard,Colville,Stevens County,WA,509
99115,Standard,Coulee City,Grant County,WA,509
99116,Standard,Coulee Dam,Okanogan County,WA,509
99117,Standard,Creston,Lincoln County,WA,509
99118,Standard,Curlew,Ferry County,WA,509
99119,Standard,Cusick,Pend Oreille County,WA,509
99121,Standard,Danville,Ferry County,WA,509
99122,Standard,Davenport,Lincoln County,WA,509
99123,Standard,Electric City,Grant County,WA,509
99124,Po Box,Elmer City,Okanogan County,WA,509
99125,Standard,Endicott,Whitman County,WA,509
99126,Standard,Evans,Stevens County,WA,509
99128,Standard,Farmington,Whitman County,WA,509-208
99129,Standard,Fruitland,Stevens County,WA,509
99130,Standard,Garfield,Whitman County,WA,509
99131,Standard,Gifford,Stevens County,WA,509
99133,Standard,Grand Coulee,Grant County,WA,509
99134,Standard,Harrington,Lincoln County,WA,509
99135,Standard,Hartline,Grant County,WA,509
99136,Standard,Hay,Whitman County,WA,509
99137,Standard,Hunters,Stevens County,WA,509
99138,Standard,Inchelium,Ferry County,WA,509
99139,Standard,Ione,Pend Oreille County,WA,509
99140,Standard,Keller,Ferry County,WA,509
99141,Standard,Kettle Falls,Stevens County,WA,509
99143,Standard,Lacrosse,Whitman County,WA,509
99144,Standard,Lamona,Lincoln County,WA,509
99146,Po Box,Laurier,Ferry County,WA,509
99147,Standard,Lincoln,Lincoln County,WA,509
99148,Standard,Loon Lake,Stevens County,WA,509
99149,Po Box,Malden,Whitman County,WA,509
99150,Standard,Malo,Ferry County,WA,509
99151,Po Box,Marcus,Stevens County,WA,509
99152,Po Box,Metaline,Pend Oreille County,WA,509
99153,Standard,Metaline Falls,Pend Oreille County,WA,509
99154,Standard,Mohler,Lincoln County,WA,509
99155,Po Box,Nespelem,Okanogan County,WA,509
99156,Standard,Newport,Pend Oreille County,WA,509
99157,Standard,Northport,Stevens County,WA,509
99158,Standard,Oakesdale,Whitman County,WA,509
99159,Standard,Odessa,Lincoln County,WA,509
99160,Standard,Orient,Ferry County,WA,509
99161,Standard,Palouse,Whitman County,WA,509
99163,Standard,Pullman,Whitman County,WA,509
99164,Unique,Pullman,Whitman County,WA,509
99165,Standard,Pullman,Whitman County,WA,509
99166,Standard,Republic,Ferry County,WA,509
99167,Standard,Rice,Stevens County,WA,509
99169,Standard,Ritzville,Adams County,WA,509
99170,Standard,Rosalia,Whitman County,WA,509
99171,Standard,Saint John,Whitman County,WA,509
99173,Standard,Springdale,Stevens County,WA,509
99174,Po Box,Steptoe,Whitman County,WA,509
99176,Standard,Thornton,Whitman County,WA,509
99179,Standard,Uniontown,Whitman County,WA,509
99180,Standard,Usk,Pend Oreille County,WA,509
99181,Standard,Valley,Stevens County,WA,509
99185,Standard,Wilbur,Lincoln County,WA,509
99201,Standard,Spokane,Spokane County,WA,509
99202,Standard,Spokane,Spokane County,WA,509
99203,Standard,Spokane,Spokane County,WA,509
99204,Standard,Spokane,Spokane County,WA,509
99205,Standard,Spokane,Spokane County,WA,509
99206,Standard,Spokane,Spokane County,WA,509
99207,Standard,Spokane,Spokane County,WA,509
99208,Standard,Spokane,Spokane County,WA,509
99209,Po Box,Spokane,Spokane County,WA,509
99210,Po Box,Spokane,Spokane County,WA,509
99211,Po Box,Spokane,Spokane County,WA,509
99212,Standard,Spokane,Spokane County,WA,509
99213,Po Box,Spokane,Spokane County,WA,509
99214,Po Box,Spokane,Spokane County,WA,509
99215,Po Box,Spokane,Spokane County,WA,509
99216,Standard,Spokane,Spokane County,WA,509
99217,Standard,Spokane,Spokane County,WA,509
99218,Standard,Spokane,Spokane County,WA,509
99219,Po Box,Spokane,Spokane County,WA,509
99220,Po Box,Spokane,Spokane County,WA,509
99223,Standard,Spokane,Spokane County,WA,509
99224,Standard,Spokane,Spokane County,WA,509
99228,Po Box,Spokane,Spokane County,WA,509
99251,Unique,Spokane,Spokane County,WA,509
99252,Unique,Spokane,Spokane County,WA,509
99256,Unique,Spokane,Spokane County,WA,509
99258,Unique,Spokane,Spokane County,WA,509
99260,Unique,Spokane,Spokane County,WA,509
99299,Unique,Spokane,Spokane County,WA,509
99301,Standard,Pasco,Franklin County,WA,509
99302,Po Box,Pasco,Franklin County,WA,509
99320,Standard,Benton City,Benton County,WA,509
99321,Standard,Beverly,Grant County,WA,509
99322,Standard,Bickleton,Klickitat County,WA,509
99323,Standard,Burbank,Walla Walla County,WA,509
99324,Standard,College Place,Walla Walla County,WA,509
99326,Standard,Connell,Franklin County,WA,509
99328,Standard,Dayton,Columbia County,WA,509
99329,Standard,Dixie,Walla Walla County,WA,509
99330,Standard,Eltopia,Franklin County,WA,509
99333,Po Box,Hooper,Whitman County,WA,509
99335,Po Box,Kahlotus,Franklin County,WA,509
99336,Standard,Kennewick,Benton County,WA,509
99337,Standard,Kennewick,Benton County,WA,509
99338,Standard,Kennewick,Benton County,WA,509
99341,Standard,Lind,Adams County,WA,509
99343,Standard,Mesa,Franklin County,WA,509
99344,Standard,Othello,Adams County,WA,509
99345,Po Box,Paterson,Benton County,WA,509
99346,Po Box,Plymouth,Benton County,WA,509
99347,Standard,Pomeroy,Garfield County,WA,509
99348,Standard,Prescott,Walla Walla County,WA,509
99349,Standard,Mattawa,Grant County,WA,509
99350,Standard,Prosser,Benton County,WA,509
99352,Standard,Richland,Benton County,WA,509
99353,Standard,West Richland,Benton County,WA,509
99354,Standard,Richland,Benton County,WA,509
99356,Standard,Roosevelt,Klickitat County,WA,509
99357,Standard,Royal City,Grant County,WA,509
99359,Po Box,Starbuck,Columbia County,WA,509
99360,Standard,Touchet,Walla Walla County,WA,509
99361,Standard,Waitsburg,Walla Walla County,WA,509
99362,Standard,Walla Walla,Walla Walla County,WA,509
99363,Po Box,Wallula,Walla Walla County,WA,509
99371,Standard,Washtucna,Adams County,WA,509
99401,Standard,Anatone,Asotin County,WA,509
99402,Standard,Asotin,Asotin County,WA,509
99403,Standard,Clarkston,Asotin County,WA,509
