Zipcode,Type,City,County,State,Area Codes
98206,Po Box,Everett,Snohomish County,WA,425
98207,Unique,Everett,Snohomish County,WA,425
98208,Standard,Everett,Snohomish County,WA,425-206
98213,Po Box,Everett,Snohomish County,WA,425
98220,Standard,Acme,Whatcom County,WA,360
98221,Standard,Anacortes,Skagit County,WA,360
98222,Standard,Blakely Island,San Juan County,WA,360
98223,Standard,Arlington,Snohomish County,WA,425-360-206
98224,Po Box,Baring,King County,WA,360
98225,Standard,Bellingham,Whatcom County,WA,360-206
98226,Standard,Bellingham,Whatcom County,WA,360
98227,Po Box,Bellingham,Whatcom County,WA,360
98228,Po Box,Bellingham,Whatcom County,WA,360
98229,Standard,Bellingham,Whatcom County,WA,360
98230,Standard,Blaine,Whatcom County,WA,360
98231,Po Box,Blaine,Whatcom County,WA,360
98232,Standard,Bow,Skagit County,WA,360
98233,Standard,Burlington,Skagit County,WA,360
98235,Po Box,Clearlake,Skagit County,WA,360
98236,Standard,Clinton,Island County,WA,360
98237,Standard,Concrete,Skagit County,WA,360
98238,Po Box,Conway,Skagit County,WA,360
98239,Standard,Coupeville,Island County,WA,360
98240,Standard,Custer,Whatcom County,WA,360
98241,Standard,Darrington,Snohomish County,WA,360
98243,Po Box,Deer Harbor,San Juan County,WA,360
98244,Standard,Deming,Whatcom County,WA,360
98245,Standard,Eastsound,San Juan County,WA,360
98247,Standard,Everson,Whatcom County,WA,360
98248,Standard,Ferndale,Whatcom County,WA,360
98249,Standard,Freeland,Island County,WA,360
98250,Standard,Friday Harbor,San Juan County,WA,360
98251,Standard,Gold Bar,Snohomish County,WA,360
98252,Standard,Granite Falls,Snohomish County,WA,360
98253,Standard,Greenbank,Island County,WA,360
98255,Po Box,Hamilton,Skagit County,WA,360
98256,Po Box,Index,Snohomish County,WA,360
98257,Standard,La Conner,Skagit County,WA,360
98258,Standard,Lake Stevens,Snohomish County,WA,425-36
98259,Po Box,North Lakewood,Snohomish County,WA,
98260,Standard,Langley,Island County,WA,425-36
