"longitude","latitude","tot_pob"
-122.822404,47.044011,1
-122.296229,47.443377,1
-117.388933,47.673347,1
-117.4236637,47.65579218,1
-122.193162,47.614744,1
-122.0195,47.545324,1
-122.091237,47.675897,1
-122.191915,47.761878,1
-122.12995,47.679224,1
-122.099034,47.672359,1
-122.147041,47.734211,1
-122.221114,47.338754,1
-122.454132,48.755607,1
-122.684286,47.562162,1
-122.333257,47.458466,1
-122.344838,47.778229,1
-122.930247,47.031067,1
-119.128998,46.236607,1
-123.342273,48.102863,1
-122.294997,47.207367,1
-122.2188,47.448354,1
-117.409937,47.739021,1
-117.312518,47.657264,1
-122.48576,47.21978,1
-122.597954,45.648094,1
-118.353406,46.047464,1
-122.19696,47.616104,1
-122.194037,47.61434,1
-122.273183,47.434021,1
-122.478493,47.22213,1
-122.44172,47.255854,1
-122.145285,47.568871,1
-122.036938,47.601657,1
-122.256619,47.424222,1
-122.212445,47.443255,1
-122.214491,47.444606,1
-122.170748,47.483635,1
-122.204976,47.474537,1
-122.437429,47.253809,1
-122.43398,47.245934,1
-122.344838,47.778229,1
-122.2469883724914,47.90272981640562,1
-122.930247,47.031067,1
-119.128998,46.236607,1
-122.294997,47.207367,1
-122.2188,47.448354,1
-122.332664,47.606684,1
-122.330278,47.604906,1
-122.323106,47.582934,1
-122.347124,47.622085,1
-122.341922,47.699613,1
-122.321401,47.57952,1
-122.353024,47.565149,1
-122.48576,47.21978,1
-122.684286,47.562162,1
-122.333257,47.458466,1
-122.597954,45.648094,1
-120.500687,46.590246,1
-120.500687,46.590246,1
-121.987449,47.868914,1
-121.261467,48.673466,1
-122.504,45.63017,1
-122.3087234,47.54527283,1
-122.331009,47.598663,1
-122.325494,48.437569,1
-122.063633,47.547047,1
-123.1135,48.08536,1
-122.1774112,47.4847291,1
-120.406494,48.594482,1
-122.339405,47.613883,1
-122.330626,47.605599,1
-120.0199,47.8399,1
-120.0199,47.8399,1
-120.180796,48.476543,1
-119.503978,48.421424,1
-120.742416,47.758434,1
-119.901506,48.051825,1
-122.662816,45.748069,1
-122.192469,47.620793,1
-122.212538,47.443123,1
-122.675335,47.557801,1
-122.301754,46.051228,1
-122.62531,47.56358,1
-122.040397,46.761214,1
-122.120894,46.755816,1
-122.773271,48.989751,1
-120.307608,47.425375,1
-122.197194,47.619772,1
-122.484131,48.783478,1
-122.19603,47.61984,1
-120.018402,47.840838,1
-122.940192,46.141922,1
-122.191294,47.638269,1
-122.3185,47.658961,1
-122.318392,47.658409,1
-120.279071,47.400783,1
-120.279071,47.400783,1
-122.179455,47.716056,1
-122.179399,47.714435,1
-122.176869,47.714793,1
-119.162367,46.213233,1
-122.323977,47.594042,1
-122.286971,47.890423,1
-120.068983390213,47.83522282290976,1
-121.841787,47.519113,1
-120.31242,47.42745,1
-122.97422,46.72527,1
-122.47117,48.73115,1
-122.91012,46.27622,1
-122.33954,48.45625,1
-122.68359,45.81749,1
-122.64552,48.92653,1
-121.36073,47.7114,1
-122.669,45.77671,1
-122.321496,47.707951,1
-122.813252,48.093634,1
-122.80229,48.102409,1
-122.794143,48.103061,1
-122.760544,48.113018,1
-117.53956,47.625092,1
-122.179613,47.716066,1
-122.51934,47.624921,1
-123.098996,48.079897,1
-122.437452,47.252117,1
-119.287843,47.616684,1
-122.326393,47.609528,1
-122.517509,47.62419,1
-122.193075,47.759501,1
-122.190719,47.757842,1
-122.300707,47.313989,1
-122.426722,47.238785,1
